name,range,battery_useable
HYUNDAI KONA ELECTRIC 39 KWH,250,39.2
FIAT 500E HATCHBACK 42 KWH,235,37.3
FIAT 500E 3+1 42 KWH,235,37.3
NISSAN LEAF,235,39.0
LEXUS UX 300E,235,45.0
KIA E-SOUL 39.2 KWH,230,39.2
FIAT 500E CABRIO 42 KWH,230,37.3
JAC IEV7S,225,39.0
ABARTH 500E SCORPIONISSIMA,225,37.3
RENAULT KANGOO E-TECH ELECTRIC,215,44.0
MERCEDES EVITO TOURER LONG 60 KWH,210,60.0
TOYOTA PROACE CITY VERSO ELECTRIC L1 50 KWH,210,46.3
MERCEDES EQV 250 LONG,205,60.0
MERCEDES EQV 250 EXTRA-LONG,205,60.0
OPEL COMBO-E LIFE 50 KWH,205,46.3
CITROEN E-BERLINGO M 50 KWH,205,46.3
MERCEDES EVITO TOURER EXTRA-LONG 60 KWH,205,60.0
VOLKSWAGEN E-UP!,205,32.3
PEUGEOT E-RIFTER STANDARD 50 KWH,205,46.3
TOYOTA PROACE CITY VERSO ELECTRIC L2 50 KWH,205,46.3
OPEL COMBO-E LIFE XL 50 KWH,200,46.3
CITROEN E-BERLINGO XL 50 KWH,200,46.3
PEUGEOT E-RIFTER LONG 50 KWH,200,46.3
CITROEN E-JUMPY COMBI M 50 KWH,185,46.3
CITROEN E-SPACETOURER M 50 KWH,185,46.3
OPEL VIVARO-E COMBI M 50 KWH,185,46.3
OPEL ZAFIRA-E LIFE M 50 KWH,185,46.3
PEUGEOT E-EXPERT COMBI STANDARD 50 KWH,185,46.3
PEUGEOT E-TRAVELLER STANDARD 50 KWH,185,46.3
FIAT E-ULYSSE L2 50 KWH,185,46.3
CITROEN E-JUMPY COMBI XL 50 KWH,180,46.3
CITROEN E-SPACETOURER XL 50 KWH,180,46.3
OPEL VIVARO-E COMBI L 50 KWH,180,46.3
OPEL ZAFIRA-E LIFE L 50 KWH,180,46.3
PEUGEOT E-EXPERT COMBI LONG 50 KWH,180,46.3
PEUGEOT E-TRAVELLER LONG 50 KWH,180,46.3
TOYOTA PROACE SHUTTLE M 50 KWH,180,46.3
TOYOTA PROACE SHUTTLE L 50 KWH,180,46.3
MINI COOPER SE,180,28.9
FIAT E-ULYSSE L3 50 KWH,180,46.3
MINI COOPER SE CONVERTIBLE,170,28.9
MAZDA MX-30,170,30.0
HONDA E ADVANCE,170,28.5
DACIA SPRING ELECTRIC 45,165,25.0
DACIA SPRING ELECTRIC 65 EXTREME,160,25.0
FIAT 500E HATCHBACK 24 KWH,135,21.3
FIAT 500E 3+1 24 KWH,135,21.3
FIAT 500E CABRIO 24 KWH,135,21.3
RENAULT TWINGO ELECTRIC,130,21.3
SMART EQ FORTWO COUPE,100,16.7
SMART EQ FORTWO CABRIO,95,16.7
