id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRSIGPSIGE32512,2.340589,49.025174,2,22000
FRSIGPSIGE32611,2.338942,49.030229,2,24000
FRSIGPSIGE32711,2.309573,48.972443,2,24000
FRSIGPSIGE32811,2.197618,48.958165,2,22000
FRSIGPSIGE33011,2.209218,48.965775,2,22000
FRSIGPSIGE33111,2.202975,48.973692,2,22000
FRSIGPSIGE33211,2.199478,48.976976,2,22000
FRSIGPSIGE33311,2.1851,49.0179,1,22000
FRSIGPSIGE33411,2.19591,49.0134,1,22000
FRSIGPSIGE33511,2.1904,48.9613,1,22000
FRSIGPSIGE32412,2.219674,48.755734,2,22000
FRSIGPSIGE32312,2.357092,48.918278,2,22000
FRSIGPSIGE31411,2.141711,48.947895,2,22000
FRSIGPSIGE31511,2.484081,48.914985,2,24000
FRSIGPSIGE31611,2.482415,48.902376,2,24000
FRSIGPSIGE31711,2.478607,48.900927,2,24000
FRSIGPSIGE31911,2.460008,49.029892,2,22000
FRSIGPSIGE32011,2.631761,48.882366,2,22000
FRSIGPSIGE32111,2.252401,48.740984,2,22000
FRSIGPSIGE32211,2.516052,48.898465,2,24000
FRSIGPSIGE19811,2.24842,48.923662,1,7000
FRSIGPSIGE21811,2.257649,48.948752,2,22000
FRSIGPSIGE22412,2.227553,48.874264,2,24000
FRSIGPSIGE22051,2.535132,48.799087,1,7000
FRSIGPSIGE21712,2.239076,48.947107,2,22000
FRSIGPSIGE21212,2.620085,48.940606,2,22000
FRSIGPSIGE21612,2.247911,48.940484,2,22000
FRSIGPSIGE21512,2.287242,48.957323,2,22000
FRSIGPSIGE21412,2.542244,48.729206,2,22000
FRSIGPSIGE21312,2.236634,48.883921,2,22000
FRSIGPSIGE22511,2.225601,48.868305,2,24000
FRSIGPSIGE22611,2.011658,48.803085,2,24000
FRSIGPSIGE23411,2.232948,48.883089,2,22000
FRSIGPSIGE23212,2.444934,49.050178,2,24000
FRSIGPSIGE23112,2.21486,48.754676,2,24000
FRSIGPSIGE23012,2.353092,49.079916,2,24000
FRSIGPSIGE22961,2.259156,48.924688,1,7000
FRSIGPSIGE22812,2.566347,48.829448,2,24000
FRSIGPSIGE22712,2.549687,48.847681,2,24000
FRSIGPSIGE23611,2.549201,48.839452,2,50000
FRSIGPSIGE20011,2.228808,48.922232,1,7000
FRSIGPSIGE20141,2.25284,48.927836,1,7000
FRSIGPSIGE19961,2.260623,48.931418,1,7000
FRSIGPSIGE21112,2.370779,48.976697,2,22000
FRSIGPSIGE20211,2.451673,49.049662,2,22000
FRSIGPSIGE21012,2.383546,48.980861,2,22000
FRSIGPSIGE20912,2.37428,48.817419,2,22000
FRSIGPSIGE20812,2.389021,48.812972,2,22000
FRSIGPSIGE20712,2.37586,48.807196,2,22000
FRSIGPSIGE20612,2.3851,48.81043,2,22000
FRSIGPSIGE20512,2.601128,48.950792,2,22000
FRSIGPSIGE20412,2.612862,48.953031,2,22000
FRSIGPSIGE20312,2.471163,49.002593,2,22000
FRSIGPSIGE28712,2.48729,48.873236,2,24000
FRSIGPSIGE27112,2.468985,48.882559,2,24000
FRSIGPSIGE27512,2.201931,48.863165,2,24000
FRSIGPSIGE27412,2.223943,48.87384,2,24000
FRSIGPSIGE27312,2.188821,48.822768,2,22000
FRSIGPSIGE27212,2.196674,48.82341,2,22000
FRSIGPSIGE26511,2.279536,48.972823,2,22000
FRSIGPSIGE27012,2.642961,48.866405,2,22000
FRSIGPSIGE26912,2.399729,48.814589,2,24000
FRSIGPSIGE26712,2.371545,48.812103,2,24000
FRSIGPSIGE26612,2.486329,48.870292,2,22000
FRSIGPSIGE27611,2.238681,48.90954,2,24000
FRSIGPSIGE27711,2.046263,48.811175,2,24000
FRSIGPSIGE28612,2.229802,48.642808,2,22000
FRSIGPSIGE17312,2.326942,48.762217,2,22000
FRSIGPSIGE28312,2.320497,48.965586,2,22000
FRSIGPSIGE28212,2.322788,48.972669,2,22000
FRSIGPSIGE28112,2.519994,48.902239,2,22000
FRSIGPSIGE28012,2.324774,48.700535,2,22000
FRSIGPSIGE27912,2.339336,48.705907,2,24000
FRSIGPSIGE27812,2.230882,48.950894,2,22000
FRSIGPSIGE26312,2.253396,48.915111,2,24000
FRSIGPSIGE23711,2.526659,48.895792,2,24000
FRSIGPSIGE24211,2.224059,48.861252,2,24000
FRSIGPSIGE24611,2.319999,48.988914,2,24000
FRSIGPSIGE24512,2.312299,48.973415,2,22000
FRSIGPSIGE24412,2.321968,48.999316,2,22000
FRSIGPSIGE24312,2.22766,48.87125,2,24000
FRSIGPSIGE24112,2.235762,48.873871,2,24000
FRSIGPSIGE24012,2.151554,48.943852,2,22000
FRSIGPSIGE23912,2.379583,48.816769,2,22000
FRSIGPSIGE23812,2.243501,48.877078,2,22000
FRSIGPSIGE24811,2.284159,48.95965,2,22000
FRSIGPSIGE24911,2.284068,48.965992,2,24000
FRSIGPSIGE25912,2.194656,48.822302,2,22000
FRSIGPSIGE25712,2.181596,48.827704,2,22000
FRSIGPSIGE25612,2.184659,48.827427,2,22000
FRSIGPSIGE25512,2.179316,48.821396,2,22000
FRSIGPSIGE25412,2.044941,48.811271,2,22000
FRSIGPSIGE25312,2.250294,48.945741,2,24000
FRSIGPSIGE25212,2.313771,48.795472,2,22000
FRSIGPSIGE25112,2.317675,48.798756,2,22000
FRSIGPSIGE6361,2.240936,48.826296,1,7000
FRSIGPSIGE8021,2.252027,48.821956,1,7000
FRSIGPSIGE7912,2.164531,48.77241,2,7000
FRSIGPSIGE7812,2.175402,48.762795,2,7000
FRSIGPSIGE7712,2.167502,48.765481,2,7000
